Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","22pF","C_0603_1608Metric",146.387500,-74.200000,180.000000,top
"C2","22pF","C_0603_1608Metric",146.400000,-79.800000,0.000000,top
"C3","4.7uF","C_0603_1608Metric",149.800000,-87.400000,180.000000,top
"U1","ATmega32A-AU","TQFP-44_10x10mm_P0.8mm",140.400000,-87.600000,180.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",146.000000,-77.000000,0.000000,top
